SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,23208 50th Ave W,Mountlake Terrace,WA,98043,430000,4,1.5,Mountlake Terrace,1266,8276,1951,3,340,,Active,,,http://www.redfin.com/WA/Mountlake-Terrace/23208-50th-Ave-W-98043/home/2722859,NWMLS,1277991,N,Y,47.7876264,-122.3009592
MLS Listing,,Single Family Residential,2808 NW 57th St,Seattle,WA,98107,975206,4,2.0,Ballard,1990,4850,1900,3,490,,Active,,,http://www.redfin.com/WA/Seattle/2808-NW-57th-St-98107/home/162664,NWMLS,1284785,N,Y,47.6704382,-122.3933939
MLS Listing,,Single Family Residential,16025 NE 6th St,Bellevue,WA,98008,1100000,5,2.5,Lake Hills,2590,37846,1963,3,425,,Active,,,http://www.redfin.com/WA/Bellevue/16025-NE-6th-St-98008/home/500239,NWMLS,1285008,N,Y,47.6147352,-122.1256919
MLS Listing,,Townhouse,7943 9th Ave SW Unit A,Seattle,WA,98106,379950,2,1.5,Highland Park,952,1362,2007,3,399,,Active,,,http://www.redfin.com/WA/Seattle/7943-9th-Ave-SW-98106/unit-A/home/145560672,NWMLS,1285278,N,Y,47.530619,-122.347298
MLS Listing,,Townhouse,1313 52nd St NE,Auburn,WA,98002,289950,3,2.5,Auburn,1539,341927,2008,3,188,195,Active,,,http://www.redfin.com/WA/Auburn/1313-52nd-St-NE-98002/unit-1303/home/39904850,NWMLS,1283727,N,Y,47.3534946,-122.2138782
MLS Listing,,Condo/Co-op,975 Aberdeen Ave NE Unit G302,Renton,WA,98056,226000,2,1.75,Highlands,922,365642,1990,3,245,360,Active,,,http://www.redfin.com/WA/Renton/975-Aberdeen-Ave-NE-98056/unit-G302/home/9331,NWMLS,1286023,N,Y,47.4998752,-122.1925041
MLS Listing,,Condo/Co-op,15 Prospect St Unit B202,Seattle,WA,98109,589000,2,1.0,Queen Anne,752,11479,1990,3,783,600,Active,May-7-2018 10:30 AM,May-7-2018 12:00 PM,http://www.redfin.com/WA/Seattle/15-Prospect-St-98109/unit-B202/home/12170161,NWMLS,1284502,N,Y,47.6285562,-122.3559553
MLS Listing,,Single Family Residential,10630 Culpeper Ct NW,Seattle,WA,98177,1495000,3,1.75,Blue Ridge,2680,25641,1946,3,558,84,Active,,,http://www.redfin.com/WA/Seattle/10630-Culpepper-Ct-NW-98177/home/288460,NWMLS,1285790,N,Y,47.7063292,-122.3797063
MLS Listing,,Single Family Residential,6241 123rd Ave SE,Bellevue,WA,98006,775000,5,2.75,Bellevue,2540,10624,1962,3,305,,Active,,,http://www.redfin.com/WA/Bellevue/6241-123rd-Ave-SE-98006/home/417231,NWMLS,1285947,N,Y,47.5463526,-122.1760944
MLS Listing,,Single Family Residential,605 22nd St,Snohomish,WA,98290,387000,3,1.75,Blackmans Lake,1054,27443,2000,3,367,,Active,,,http://www.redfin.com/WA/Snohomish/605-22nd-St-98290/home/2478433,NWMLS,1286150,N,Y,47.937984,-122.08868
MLS Listing,,Single Family Residential,4457 119th Ave SE,Bellevue,WA,98006,999888,4,2.75,Bellevue,2540,17476,1958,3,394,,Active,,,http://www.redfin.com/WA/Bellevue/4457-119th-Ave-SE-98006/home/418023,NWMLS,1286169,N,Y,47.565885,-122.181651
MLS Listing,,Single Family Residential,212 Blaine St,Seattle,WA,98109,1395000,4,3.0,Queen Anne,2540,4080,1906,3,549,,Active,May-7-2018 11:00 AM,May-7-2018 01:00 PM,http://www.redfin.com/WA/Seattle/212-Blaine-St-98109/home/133494,NWMLS,1282870,N,Y,47.6350472,-122.3524878
